unique_id,greenup_coef,abs_greenup_coef,greenup_p_value
Canada_555757581,-0.307111601651094,0.307111601651094,0.471754524378093
Canada_555757582,-0.255875711203547,0.255875711203547,0.367224183253509
Canada_555757587,-0.101294061115868,0.101294061115868,0.702401122932094
Canada_555757589,-0.166276864639733,0.166276864639733,0.495074258330159
Canada_555757590,-0.620667772018696,0.620667772018696,0.054044022635582
Canada_555757594,0.226613794207534,0.226613794207534,0.455705479750825
Canada_555757595,0.074012120471753,0.074012120471753,0.81229147404036
Canada_555757597,-0.343561967597937,0.343561967597937,0.405386462503917
Canada_555757598,-0.0889292816222416,0.0889292816222416,0.723606289054029
Canada_555757601,-0.0719650619190184,0.0719650619190184,0.742635006291963
Canada_555757605,0.241678981279289,0.241678981279289,0.424648385956525
Canada_555757610,-0.0480737524423585,0.0480737524423585,0.806606867916493
Canada_555757612,-0.0365254177985648,0.0365254177985648,0.881410220126802
Canada_555757613,-0.0108744936991891,0.0108744936991891,0.962940662733285
Canada_555757614,0.0164040467134638,0.0164040467134638,0.934105363843674
Canada_555757615,-0.0142983506857772,0.0142983506857772,0.955122038599094
Canada_555757626,-0.122038037111891,0.122038037111891,0.585283059227584
Canada_555757627,-0.105119285944211,0.105119285944211,0.647526914201326
Canada_555757636,-0.0264430719898029,0.0264430719898029,0.902570887964245
Canada_555757637,-0.0170365561947332,0.0170365561947332,0.936729567665864
Canada_555757638,-0.0594835529645658,0.0594835529645658,0.802317842204716
Canada_555757640,-0.115037449666556,0.115037449666556,0.595437750205214
Canada_555757642,0.0952516615036483,0.0952516615036483,0.636322364350111
Canada_555757646,-0.082198783971044,0.082198783971044,0.79135974131097
Canada_555757648,0.0212431586207681,0.0212431586207681,0.934493407101526
Canada_555757654,0.147055228955286,0.147055228955286,0.526277295468506
Canada_555757665,-0.397453048866754,0.397453048866754,0.305579948690636
Canada_555757667,0.21559614439672,0.21559614439672,0.521890292934846
Canada_555757668,0.0181236763145287,0.0181236763145287,0.955706298540732
Canada_555757670,0.115062360825364,0.115062360825364,0.575168711546993
Canada_555757673,-0.0606359462412878,0.0606359462412878,0.855877208683029
Canada_555757674,-0.305793318953999,0.305793318953999,0.345235206200454
Canada_555757675,-0.931454331305737,0.931454331305737,0.00589707036394359
Canada_555757676,-0.53189106371944,0.53189106371944,0.201883207573686
Canada_555757677,-0.502984217217037,0.502984217217037,0.264395907978763
Canada_555757685,0.0245140747492158,0.0245140747492158,0.922670081867675
Canada_555757686,-0.0054113809037859,0.0054113809037859,0.983195883624199
Canada_555757687,0.00696609980778949,0.00696609980778949,0.974530568342823
Canada_555757691,-0.0999970568790838,0.0999970568790838,0.733756510875625
Canada_555757692,-0.0838946953185677,0.0838946953185677,0.705161378335504
Canada_555757693,-0.0954688117040609,0.0954688117040609,0.723074886556415
Canada_555757694,-0.256381873524901,0.256381873524901,0.388977725479725
Canada_555757695,-0.0493876722982192,0.0493876722982192,0.855843094613341
Canada_555757699,-0.0771131124142349,0.0771131124142349,0.732348970183488
Canada_555757700,-0.329550205252668,0.329550205252668,0.290162983629978
Canada_555757701,-0.161092239011968,0.161092239011968,0.489722296498649
Canada_555757703,-0.43671374864726,0.43671374864726,0.234010142956401
Canada_555757704,-0.103842071438717,0.103842071438717,0.674980524127808
Canada_555757705,-0.017062159633895,0.017062159633895,0.942377464264997
Canada_555757714,-0.403854975951165,0.403854975951165,0.0352030173365688
Canada_555757715,-0.89019361167952,0.89019361167952,5.62677079446045e-05
Canada_555757717,-0.322671495551845,0.322671495551845,0.153456451042095
Canada_555757719,-0.313022756456939,0.313022756456939,0.0841342031399816
Canada_555757725,-0.0935643722410498,0.0935643722410498,0.485235024695932
United States of America_555757729,0.0397790304565252,0.0397790304565252,0.875630355407906
Canada_555757730,-0.364761098960113,0.364761098960113,0.270813949935483
Canada_555757734,0.0449597539855119,0.0449597539855119,0.807424416132142
Canada_555757735,0.0381444438945644,0.0381444438945644,0.846215267417712
Canada_555757739,-0.0101994175770154,0.0101994175770154,0.958990146160321
Canada_555757741,0.0209365955684373,0.0209365955684373,0.93512498054268
Canada_555757743,-0.440902895964614,0.440902895964614,0.146304274267485
Canada_555757744,-0.0944993287846635,0.0944993287846635,0.590951593657259
Canada_555757745,-0.00702724052161811,0.00702724052161811,0.978073757449949
Canada_555757747,-0.263281637429179,0.263281637429179,0.178319440235375
Canada_555757748,-0.207037923022708,0.207037923022708,0.34566835785116
Canada_555757751,-0.122537024289136,0.122537024289136,0.609164699409019
Canada_555757755,-0.179228988868956,0.179228988868956,0.414480827265609
Canada_555757756,-0.0808300685199319,0.0808300685199319,0.745932398091099
Canada_555757757,-0.170465174280759,0.170465174280759,0.426748140643935
Canada_555757758,-0.292863381539009,0.292863381539009,0.252422818686516
Canada_555757760,-0.146023786065964,0.146023786065964,0.36628464363148
Canada_555757762,-0.298799346991648,0.298799346991648,0.0559547458218521
Canada_555757763,0.042441374516544,0.042441374516544,0.877352656490912
Canada_555757764,-0.542692962477042,0.542692962477042,0.00148846132676928
Canada_555757765,-0.0284403939904833,0.0284403939904833,0.880790823153809
Canada_555757766,-0.059195330420692,0.059195330420692,0.7762204013304
Canada_555757768,0.14169881985827,0.14169881985827,0.481611799196929
Canada_555757770,-0.185463150835118,0.185463150835118,0.297485187016811
Canada_555757773,-0.142277333910484,0.142277333910484,0.512839352616891
Canada_555757775,-0.146102440340066,0.146102440340066,0.569291701810434
Canada_555757778,0.00528864201552474,0.00528864201552474,0.977617730968902
Canada_555757782,0.0207776936977017,0.0207776936977017,0.952426702776569
Canada_555757783,-0.15359131452587,0.15359131452587,0.544211222473245
Canada_555757786,0.00694837854127208,0.00694837854127208,0.982766805368938
Canada_555757787,0.167742337539649,0.167742337539649,0.527360949861967
Canada_555757788,-0.0337557566807706,0.0337557566807706,0.857132273431209
Canada_555757796,0.105195016926103,0.105195016926103,0.620006112605157
Canada_555757802,-0.402651231461886,0.402651231461886,0.212019124921719
Canada_555757803,0.14438495822072,0.14438495822072,0.618575744609441
Canada_555757806,0.0535921456543641,0.0535921456543641,0.821835101148305
Canada_555757807,-0.142541940958527,0.142541940958527,0.530408032459454
Canada_555757808,-0.00916130609346183,0.00916130609346183,0.97191364247572
Canada_555757809,0.0451634648594606,0.0451634648594606,0.826049386789762
Canada_555757813,-0.0649932531756173,0.0649932531756173,0.682729430708236
Canada_555757816,-0.0728467869729071,0.0728467869729071,0.758008221271626
