control_for,Continent,functional_biome,control_within_dist,unique_id,nitrogen_depo,functional_biome_num,olson_biome_num,climatic_region_num,elevation,MaxTemp,BurnedAreaMean,human_modification,MAT,MAP,EVI,climatic_region,olson_biome,land_cover
United States of America_555662215,North America,TMC,100k,United States of America_555662215_control,736.20751953125,5,4,26,257.92041015625,27.7216644287109,0,0.587445020675659,8.65588569641113,105.142883300781,3328.49389648438,Cold,Temperate Broadleaf & Mixed Forests,OpenForestOther
United States of America_555662219,North America,TMC,100k,United States of America_555662219_control,736.20751953125,5,4,26,254.022216796875,27.7943992614746,0,0.560130596160889,8.7402400970459,106.256629943848,3321.19750976563,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662221,North America,TMB,100k,United States of America_555662221_control,902.472106933594,17,4,25,342.363494873047,29.4189682006836,0,0.38082766532898,10.0417757034302,93.2507019042969,3666.46069335938,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662224,North America,TMC,100k,United States of America_555662224_control,981.583068847656,5,4,26,525.832153320313,28.1496200561523,0,0.237561777234077,8.57394218444824,108.982093811035,3617.95556640625,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662208,North America,TMC,100k,United States of America_555662208_control,720.554321289063,5,4,26,197.313262939453,28.7094554901123,0,0.15418367087841,7.88149404525757,101.204940795898,3200.29907226563,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662222,North America,TMC,100k,United States of America_555662222_control,736.20751953125,5,4,26,473.820373535156,26.1182327270508,0,0.366861253976822,6.55515766143799,136.154922485352,3506.77465820313,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662229,North America,TMC,100k,United States of America_555662229_control,902.472045898437,5,4,26,477.61572265625,28.1336212158203,0,0.470865517854691,9.41418075561523,103.768531799316,3569.34375,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662231,North America,TMC,100k,United States of America_555662231_control,736.20751953125,5,4,26,176.220932006836,27.3808422088623,0,0.538011729717255,8.22417068481445,107.309989929199,3030.62255859375,Cold,Temperate Broadleaf & Mixed Forests,OpenForestOther
United States of America_555662230,North America,TMC,100k,United States of America_555662230_control,736.20751953125,5,4,26,297.994262695313,27.129955291748,0,0.449622750282288,8.0812931060791,114.669212341309,3562.45434570313,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662236,North America,TMB,100k,United States of America_555662236_control,902.472045898437,17,4,26,386.429351806641,28.9636192321777,0,0.388933151960373,9.58759880065918,104.191123962402,3602.0615234375,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662242,North America,TMC,100k,United States of America_555662242_control,1128.54919433594,5,4,26,419.789764404297,29.1767749786377,0,0.314367651939392,9.62094688415527,104.096130371094,3534.98413085938,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662243,North America,TMC,100k,United States of America_555662243_control,720.554321289063,5,4,26,80.052131652832,27.8851165771484,0,0.482396155595779,8.34451389312744,81.4271392822266,2535.34301757813,Cold,Temperate Broadleaf & Mixed Forests,OpenForestOther
United States of America_555662238,North America,TMC,100k,United States of America_555662238_control,720.554321289063,5,4,26,121.217895507813,28.416467666626,0,0.314793825149536,8.26263523101807,91.4724197387695,3490.46264648438,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662233,North America,TMC,100k,United States of America_555662233_control,736.20751953125,5,4,26,145.623931884766,28.2545471191406,0,0.412575632333756,8.8659200668335,107.620956420898,3646.859375,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestMixed
United States of America_555662235,North America,TMC,100k,United States of America_555662235_control,720.554321289063,5,4,26,135.922912597656,29.0714740753174,0,0.255376815795898,8.15369606018066,96.4051055908203,3388.64965820313,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662244,North America,TMC,100k,United States of America_555662244_control,736.20751953125,5,4,26,367.097961425781,26.8955402374268,0,0.448060661554337,7.3006911277771,114.933013916016,3269.677734375,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662245,North America,TMB,100k,United States of America_555662245_control,739.320007324219,17,4,26,483.295043945313,28.4487590789795,0,0.312309831380844,8.56592273712158,79.2300262451172,3588.86279296875,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662246,North America,TMB,100k,United States of America_555662246_control,735.772155761719,17,4,26,344.478607177734,29.1261463165283,0,0.466555058956146,9.38671207427979,94.3271102905273,3601.14819335938,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662253,North America,TMC,100k,United States of America_555662253_control,736.480651855469,5,4,25,32.593864440918,30.1411228179932,0,0.60883754491806,10.0520458221436,90.610481262207,3027.916015625,Cold,Temperate Broadleaf & Mixed Forests,OpenForestOther
United States of America_555662249,North America,TMC,100k,United States of America_555662249_control,736.585083007813,5,4,26,512.699584960938,27.5830326080322,0,0.202720105648041,6.8039288520813,103.657768249512,3756.95483398438,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662251,North America,TMB,100k,United States of America_555662251_control,670.104736328125,17,4,26,377.116607666016,28.102445602417,0,0.343393236398697,8.90329933166504,110.43571472168,3649.29931640625,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662262,North America,TMB,100k,United States of America_555662262_control,670.104736328125,17,4,26,470.156280517578,27.8349857330322,0,0.442801624536514,8.76946544647217,112.58659362793,3556.98266601563,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662260,North America,TMC,100k,United States of America_555662260_control,706.685424804688,5,4,26,130.579193115234,26.3045558929443,0,0.404010146856308,8.94521522521973,102.826683044434,3626.22875976563,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662256,North America,TMB,100k,United States of America_555662256_control,735.772155761719,17,4,26,470.257843017578,28.6904621124268,0,0.378804504871368,8.73963069915772,90.706901550293,3696.0888671875,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662263,North America,TMB,100k,United States of America_555662263_control,739.320007324219,17,4,26,568.092895507813,27.684814453125,0,0.43126055598259,8.17997360229492,84.0905303955078,3506.52319335938,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662261,North America,TMC,100k,United States of America_555662261_control,720.554321289063,5,4,26,198.913757324219,28.7335319519043,0.00169132847804576,0.0917359292507172,7.815269947052,100.859817504883,3118.71606445313,Cold,Temperate Broadleaf & Mixed Forests,OpenForestOther
United States of America_555662270,North America,TMC,100k,United States of America_555662270_control,1154.82751464844,5,4,26,390.473968505859,28.6424827575684,0,0.497895866632462,9.41604900360107,104.884475708008,3506.3349609375,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662274,North America,TMB,100k,United States of America_555662274_control,929.654052734375,17,4,26,425.352813720703,29.0199317932129,0,0.282307356595993,9.47598743438721,104.599304199219,3725.9736328125,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662272,North America,TMC,100k,United States of America_555662272_control,733.6787109375,5,4,26,139.10383605957,27.650993347168,0,0.367428123950958,8.01904296875,83.0907974243164,2980.29809570313,Cold,Temperate Broadleaf & Mixed Forests,OpenForestOther
United States of America_555665356,North America,TMN,100k,United States of America_555665356_control,368.666870117188,23,5,9,267.209228515625,24.5870494842529,9.83740319497883e-05,0.0400284081697464,10.6639528274536,142.896041870117,4067.46166992188,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
United States of America_555665344,North America,TMC,100k,United States of America_555665344_control,720.554321289063,5,4,26,370.998687744141,28.0637550354004,0,0.0864318609237671,6.7134370803833,105.741561889648,3371.865234375,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
